,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
79,KPMG India,3.5,NaN,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",Management Consulting ,Bangalore / Bengaluru 
80,Hindustan Unilever,4.2,"Skill Development / Learning, Job Security, Company Culture",NaN,FMCG ,London 
81,IIFL Finance,4.0,"Work Life Balance, Skill Development / Learning, Salary & Benefits",NaN,NBFC ,Mumbai 
82,Udaan,4.0,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security,Internet ,Bangalore 
83,Max Life Insurance,4.1,"Skill Development / Learning, Company Culture, Job Security",NaN,Insurance ,Gurgaon/Gurugram 
84,Ujjivan Small Finance Bank,4.1,"Company Culture, Job Security, Skill Development / Learning",NaN,Banking ,Bangalore/Bengaluru 
85,Oracle,3.7,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Emerging Technologies ,Austin 
86,Tata Projects,4.3,"Job Security, Company Culture, Salary & Benefits",NaN,Engineering & Construction ,Mumbai 
87,Muthoot Finance,3.6,NaN,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",NBFC ,Kochi/Cochin 
88,Megha Engineering & Infrastructures,4.0,Job Security,Promotions / Appraisal,Engineering & Construction ,Hyderabad/Secunderabad 
89,eClerx,3.4,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Mumbai 
90,Ekart Logistics,4.0,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Logistics ,San Francisco 
91,Omega Healthcare,3.8,NaN,"Promotions / Appraisal, Salary & Benefits",Healthcare ,Florida 
92,Aurobindo Pharma,4.0,"Job Security, Salary & Benefits, Work Life Balance",NaN,Pharma ,Hyderabad/Secunderabad 
93,Shapoorji Pallonji Group,4.2,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction ,Mumbai 
94,JLL,4.2,"Skill Development / Learning, Job Security, Company Culture",NaN,Real Estate ,Mumbai 
95,Siemens,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Industrial Automation ,Munich 
96,Bajaj Allianz Life Insurance,4.1,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Insurance ,Pune 
97,Coforge,3.4,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Noida 
98,Indiamart Intermesh,3.5,NaN,"Promotions / Appraisal, Work Satisfaction, Company Culture",Internet ,Noida 
99,Virtusa Consulting Services,3.8,NaN,Promotions / Appraisal,IT Services & Consulting ,Southborough 
100,Ashok Leyland,4.1,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal,Automobile ,Chennai 
101,Apollo Hospitals,4.1,"Job Security, Skill Development / Learning, Company Culture",NaN,Healthcare ,Chennai 
102,First Source,3.7,NaN,"Promotions / Appraisal, Salary & Benefits",BPO ,Mumbai 
103,JustDial,3.5,NaN,"Promotions / Appraisal, Work Satisfaction, Job Security",Internet ,Mumbai 
104,Standard Chartered,3.8,Job Security,Promotions / Appraisal,Banking ,London 
105,L&T Technology Services,3.4,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Vadodara/Baroda 
106,DMart,3.9,"Job Security, Company Culture",Promotions / Appraisal,Retail ,Mumbai 
107,Home Credit Finance,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Financial Services ,Gurugram 
108,Vivo,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Consumer Electronics & Appliances ,Gurgaon/Gurugram 
109,BigBasket,3.9,Job Security,Promotions / Appraisal,Internet ,Bangalore 
110,ICICI Lombard General Insurance Company,3.7,NaN,"Promotions / Appraisal, Work Satisfaction",Insurance ,Mumbai 
111,Hero MotoCorp,4.2,"Work Life Balance, Company Culture, Job Security",NaN,Automobile ,Gurgaon/Gurugram 
112,Cyient,3.7,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Hyderabad/Secunderabad 
113,Mahindra Finance,4.2,"Company Culture, Job Security, Skill Development / Learning",NaN,NBFC ,Mumbai 
114,CGI Group,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting ,Montreal 
115,GlobalLogic,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",IT Services & Consulting ,San Jose 
116,Equitas Small Finance Bank,4.3,"Job Security, Company Culture, Work Life Balance",NaN,Banking ,Chennai 
117,Bosch Global Software Technologies,4.1,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Software Product ,Gerlingen 
118,UST,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting ,Aliso Viejo 
119,Cholamandalam Investment & Finance,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,NBFC ,Chennai 
120,OPPO,4.0,Skill Development / Learning,Promotions / Appraisal,Consumer Electronics & Appliances ,Dongguan 
121,Nagarro,4.1,"Work Life Balance, Company Culture, Salary & Benefits",NaN,IT Services & Consulting ,Munich 
122,Manappuram Finance,4.0,"Skill Development / Learning, Promotions / Appraisal",NaN,NBFC ,Thrissur/Trichur 
123,SMFG India Credit,4.1,"Salary & Benefits, Job Security, Company Culture",NaN,NBFC ,Mumbai 
124,TVS Motor,4.0,"Skill Development / Learning, Salary & Benefits, Job Security",NaN,Automobile ,Chennai 
125,IQVIA,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Clinical Research ,Durham 
126,SBI Cards & Payment Services,3.7,NaN,"Promotions / Appraisal, Work Satisfaction, Company Culture",Financial Services ,Gurgaon/Gurugram 
127,Kalpataru Projects International,4.2,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction ,Mumbai 
